Q4.1,Q90,Q90_4_TEXT,Q91,Q5.1,Q5_9_TEXT,Q6,Q7,Q8,Q9,Q10,Q12,Q13,Q14,Q16,Q18,Q19,Q20,Q20_1_TEXT,Q21,Q22,Q24,Q25,Q23,Q27_1,Q27_2,Q27_3,Q27_4,Q27_5,Q28_1,Q28_2,Q28_3,Q28_4,Q28_5,Q29_1,Q29_2,Q29_3,Q29_4,Q29_5,Q29_6,Q31,Q33,Q34,Q36,Q37_1,Q37_2,Q39_1,Q39_2,Q39_3,Q39_4,Q39_5,Q39_6,Q39_7,Q39_8,Q39_9,Q40,Q40_7_TEXT,Q41,Q42_1,Q42_2,Q42_3,Q44_1,Q44_2,Q44_3,Q44_4,Q44_5,Q44_6,Q44_7,Q44_8,Q44_9,Q46_1,Q46_2,Q46_3,Q46_4,Q46_5,Q46_6,Q46_7,Q47,Q48,Q67,Q95,Q102,Q93_1,Q93_2,Q58,Q68,Q59,Q60,Q61_1,Q61_2,Q61_3,Q96_1,Q96_2,Q96_3,Q96_4,Q96_5,Q96_6,Q96_7,Q96_8,Q96_9,Q70,Q65_1,Q65_2,Q65_3,Q65_4,Q65_5,Q65_6,Q65_7,Q65_8,Q65_9,Q66.1,Q66_8_TEXT,Q71,Q67.1,Q84,Q84_8_TEXT,Q88,Q89
,Female,,No,White or European descent,,Part-time employment,,Apartment/condo,,I do not live with other people,No,,Dog,I have used drugs once or twice a month for the past six months,Inhalants,Smoking/inhalation,No,,At home,,,No,,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Most of the time,Most of the time,Most of the time,Most of the time,Most of the time,Always,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Somewhat concerned,Strongly agree,Strongly agree,3,6,2,7,4,5,9,1,8,It is convenient/close by,,Extremely concerned,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Using respectful language,Avoiding non-incriminatory questions",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,No,White or European descent,,"Financial aid/Benefits,Unemployed",36000,Rented apartment/condo,Surrey,I do not live with other people,Children (yours or someone else's),,"Dog,Cat,Small mammal,Other pet",I use drugs multiple times a week,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,"At home,At a friend/partner/relative's home",,Not at all concerned,Yes,I keep it in a locked tool box as it is edible and looks like candy,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Somewhat agree,Never,Never,Sometimes,Never,Never,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis ,Not at all concerned,Strongly agree,Strongly agree,5,4,2,9,6,8,7,1,3,"It is open/available at the time of the emergency,I am confident in the veterinary or health care staff knowledge of the situation,The cost of the treatment",,Not at all concerned,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Somewhat disagree,Somewhat agree,"Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor,Being knowledgeable about drugs and their effects",I have been a member of the rescue society for over 20 years. I have a lot of experience when it comes to vets emergencies. This is my personal feelings based on my experience. I definitely feel that I would have different answers if I hadn't had the experience I have. I feel like there is a lot of stigma around drug use.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,No,White or European descent,,Full-time employment,70000,Rented apartment/condo,Mount Pleasant,Roommate(s),No,1,Dog,I use drugs once a week,"Cannabis,Hallucinogens,Cocaine","Smoking/inhalation,Snorting,Oral consumption",No,,"At home,At a friend/partner/relative's home,Outside or in a public place",No,,Yes,Kept in a box closed and unable to open by my dog ,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Never,Never,About half the time,Never,Never,Never,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis ,Extremely concerned,Somewhat agree,Somewhat agree,2,3,1,5,6,9,8,4,7,"I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation,The cost of the treatment",,Not at all concerned,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,"Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Female,,No,East Asian,,Full-time employment,65000,Apartment/condo,Strathcona,Partner/spouse,No,1,Dog,I use drugs once a week,"Cannabis,Hallucinogens","Smoking/inhalation,Oral consumption",No,,At home,Yes,,Yes,Keep in cabinet ,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Never,Sometimes,Sometimes,Never,Sometimes,Never,I use MJ and mushrooms mostly for depression in small doses most of the time,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,,Somewhat disagree,Somewhat agree,Went to a local veterinary clinic,No treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Other,Vet recommended no treatment ,"Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor",My dog ingested weed on out walk in the neighbourhood. I first noticed my puppy sleeping more than usual and lots of drooling and wobbling walk. While I was quite sure it was weed I still took my dog to the vet.
55-64,Female,,No,White or European descent,,Financial aid/Benefits,20000,SRO,Downtown,Roommate(s),No,1,Dog,I use drugs every day,"Cocaine,Opioids","Smoking/inhalation,Snorting",No,,At home,Yes,,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Neither agree nor disagree,Never,Always,Never,Never,Never,Never,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Heroin,Moderately concerned,Somewhat agree,Somewhat agree,7,8,6,3,1,5,9,4,2,"It is open/available at the time of the emergency,It is convenient/close by,I am confident in the veterinary or health care staff knowledge of the situation,The cost of the treatment",,Quite concerned,Strongly disagree,Somewhat disagree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Female,,No,East Asian,,Part-time employment,,Apartment/condo,Strathcona,I do not live with other people,No,1,Dog,I use drugs multiple times a week,"Cannabis,Hallucinogens,Depressants",Oral consumption,No,,At home,,,Yes, High location. Dog can't reach.,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,About half the time,About half the time,Most of the time,Sometimes,About half the time,About half the time,"Hard to manage my own life.
Brain is like dead.
No energy. Drowsy. Brain not clear.
No hope and easy time in life.
Dangers are anywhere in my neighborhood. 
Being alone all the time.
",Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,Cannabis,Extremely concerned,Strongly disagree,Strongly disagree,7,8,9,5,2,4,6,1,3,The cost of the treatment,,Somewhat concerned,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat disagree,Somewhat disagree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,"Using respectful language,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Being knowledgeable about drugs and their effects"," illegal drug use
Take away pets
Ask a lot of questions about previte life
Cold attitude or not give good treatment.
Make treatment more expensive.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Male,,No,"First Nations or Indigenous,White or European descent",,Full-time employment,120000,"Staying with someone else (family, friend)",Arbutus-Ridge,Parent(s),Dependent adult(s),2,"Dog,Cat",I use drugs multiple times a week,"Cannabis,Hallucinogens,Inhalants","Injection,Oral consumption",Yes (please specify),,"At home,At a friend/partner/relative's home,At a safe injection site",Yes,Not at all concerned,No,,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Most of the time,Sometimes,Most of the time,About half the time,Most of the time,Most of the time,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Hallucinogens,Somewhat disagree,Somewhat agree,Went to a local veterinary clinic,Treated at the vet/veterinary hospital,"It was open/available at the time of the emergency,I was confident in the veterinary or healthcare staff knowledge of the situation",No,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither good nor bad,Neither agree nor disagree,,Somewhat agree,,Somewhat disagree,,,Somewhat agree,Neither agree nor disagree,"Using respectful language,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Being knowledgeable about drugs and their effects",,Somewhat agree,,,,,
45-54,Male,,No,White or European descent,,Full-time employment,90000,House,West End,Partner/spouse,Children (yours or someone else's),2,Dog,I use drugs once a week,"Cannabis,Cocaine","Smoking/inhalation,Injection",Yes (please specify),,At home,No,Not at all concerned,Yes,I keep them out of sight,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Never,Always,Never,Most of the time,About half the time,Always,Love yourself well,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Extremely concerned,Strongly disagree,Somewhat agree,7,6,5,3,1,2,4,8,9,I am confident in the veterinary or health care staff knowledge of the situation,,Extremely concerned,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,"Using respectful language,Maintaining a friendly demeanor,Being knowledgeable about drugs and their effects",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Male,,No,East Asian,,Part-time employment,,Rented apartment/condo,Downtown,I do not live with other people,No,1,Dog,I have used drugs once or twice in the past six months,Hallucinogens,Oral consumption,No,,Outside or in a public place,,,Yes,Where no one has seen it,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Strongly disagree,Somewhat disagree,Strongly agree,Always,Most of the time,Most of the time,Always,Always,Always,It's a lot of torture when you want to do it in your rental,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,cocaine,Extremely concerned,Strongly disagree,Strongly disagree,2,4,6,7,8,9,1,3,5,It is open/available at the time of the emergency,,Quite concerned,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat disagree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,"Emphasizing a commitment to helping your animal,Providing assurance that accidents happen",Worried about what can be done to save your pet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,White or European descent,,Full-time employment,30000,"Staying with someone else (family, friend)",,Roommate(s),No,2,Small mammal,I have used drugs once or twice a month for the past six months,"Cannabis,Hallucinogens,Cocaine","Smoking/inhalation,Injection,Oral consumption",Yes (please specify),,At home,Yes,,No,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Sometimes,Sometimes,Never,Never,Sometimes,About half the time,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Inhalants,Somewhat disagree,Somewhat disagree,Called a drug overdose helpline (ex. National overdose response service),Treated at the vet/veterinary hospital,I was confident in the veterinary or healthcare staff knowledge of the situation,No,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Neither agree nor disagree,Strongly disagree,Somewhat good,Somewhat disagree,Strongly disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,"Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor",,Somewhat disagree,,,,,
25-34,Female,,No,White or European descent,,Unemployed,20000,"Staying with someone else (family, friend)",Marpole,Parent(s),Dependent adult(s),2,"Dog,Cat",I use drugs once a week,"Amphetamines,Cocaine","Smoking/inhalation,Injection",No,,"At home,At a friend/partner/relative's home",No,Quite concerned,Yes,"Hide under the bed, lock the room door and don't let others in.",Somewhat agree,Somewhat agree,Strongly agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Strongly agree,Most of the time,Always,About half the time,Sometimes,Always,Always,It makes me uncomfortable to get the odd look.,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Cocaine,Strongly disagree,Strongly disagree,Went to an emergency animal hospital,Treated at the vet/veterinary hospital,"It was convenient/close by,I had a prior relationship with the veterinarian or healthcare staff,I was confident in the veterinary or healthcare staff knowledge of the situation",Yes,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Somewhat disagree,Strongly disagree,Strongly disagree,Somewhat good,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Strongly agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality",,Somewhat disagree,"I was very afraid that the vet would ask me the details of the poisoning, and I could not answer.",,,,
25-34,Male,,No,White or European descent,,"Part-time employment,Financial aid/Benefits",40000,"Staying with someone else (family, friend)",Strathcona,Roommate(s),Dependent adult(s),2,"Dog,Cat",I use drugs multiple times a week,"Cannabis,Depressants,Cocaine,Inhalants","Smoking/inhalation,Injection",No,,"At home,At a friend/partner/relative's home",Yes,Not at all concerned,Yes,Get what I consume at the moment ,Strongly agree,Strongly agree,Strongly agree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Strongly agree,About half the time,Sometimes,Sometimes,Sometimes,Sometimes,About half the time,The high level of discrimination ,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,epinephrine,Extremely concerned,Strongly agree,Somewhat agree,5,9,7,3,1,2,6,4,8,"It is open/available at the time of the emergency,I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation",,Somewhat concerned,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,"Using respectful language,Emphasizing a commitment to helping your animal,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects",I face discrimination because of my drugs use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35-44,Male,,Yes,East Asian,,Financial aid/Benefits,,"Staying with someone else (family, friend)",Oakridge,,Children (yours or someone else's),,Small mammal,I have used drugs once or twice a month for the past six months,Depressants,Injection,No,,Outside or in a public place,,Somewhat concerned,Yes,,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,Somewhat disagree,Strongly agree,About half the time,About half the time,Most of the time,Always,Most of the time,Always,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Quite concerned,Somewhat agree,Somewhat agree,9,5,1,6,2,8,4,3,7,I DO NOT have a prior relationship with the veterinarian of health care staff,,Somewhat concerned,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Strongly disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Emphasizing a commitment to helping your animal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Female,,No,White or European descent,,Full-time employment,70000,Apartment/condo,Downtown,I do not live with other people,No,1,Cat,I use drugs once a week,"Cannabis,Amphetamines","Smoking/inhalation,Injection",No,,"At home,At a friend/partner/relative's home,At a safe injection site",,,Yes,A cabinet in a room where medications are stored,Somewhat agree,Somewhat agree,Strongly agree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Sometimes,About half the time,Most of the time,Most of the time,About half the time,Most of the time,Drug use can be socially rejected and frowned upon because our actions are seen as immoral and illegal,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,hemp,Quite concerned,Somewhat agree,Neither agree nor disagree,5,1,4,3,6,2,9,7,8,"It is open/available at the time of the emergency,It is convenient/close by,I am confident in the veterinary or health care staff knowledge of the situation",,Moderately concerned,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly agree,Strongly disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Strongly agree,Strongly disagree,Somewhat disagree,"Using respectful language,Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor","Symptoms of drug poisoning may not be obvious, especially in the early stages, so it is important to watch for any abnormal symptoms and take action if necessary",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,Black,,Full-time employment,100000,Apartment/condo,Downtown,I do not live with other people,No,1,Dog,I have used drugs once or twice a month for the past six months,"Cannabis,Hallucinogens","Smoking/inhalation,Injection",No,,At a safe injection site,,,Yes,,Somewhat agree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,About half the time,About half the time,Most of the time,About half the time,Sometimes,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Somewhat concerned,Neither agree nor disagree,Somewhat agree,,,,,,,,,,"I DO NOT have a prior relationship with the veterinarian of health care staff,I am confident in the veterinary or health care staff knowledge of the situation",,Moderately concerned,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Strongly agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat disagree,Somewhat disagree,Strongly agree,"Avoiding non-incriminatory questions,Maintaining a friendly demeanor,Providing assurance that accidents happen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18-24,Male,,No,White or European descent,,Full-time employment,80000,"Staying with someone else (family, friend)",Downtown,Parent(s),Dependent adult(s),1,Dog,I have used drugs once or twice a month for the past six months,"Cannabis,Inhalants",Smoking/inhalation,Yes (please specify),morphine,At a safe injection site,No,Quite concerned,Yes,"Position placement,daily check",Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Somewhat agree,Sometimes,About half the time,About half the time,About half the time,Most of the time,Most of the time,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,aerosol sprays,Extremely concerned,Somewhat agree,Somewhat agree,4,3,1,5,9,8,2,6,7,I have a prior relationship with the veterinarian or healthcare staff,,Quite concerned,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Strongly agree,Strongly agree,Somewhat agree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,Somewhat agree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor,Providing assurance that accidents happen,Being knowledgeable about drugs and their effects","Pets may feel fear or struggle in an emergency, which may prevent me from providing the necessary first aid.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,White or European descent,,Full-time employment,9000,Rented apartment/condo,UBC/West Point Grey,Partner/spouse,No,3,"Dog,Cat",I use drugs multiple times a week,Depressants,Injection,No,,At a friend/partner/relative's home,No,,Yes,Store the medicine in the safe,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Strongly agree,Somewhat disagree,Somewhat agree,About half the time,Sometimes,About half the time,Always,About half the time,Always,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,benzos,Extremely concerned,Somewhat agree,Somewhat agree,2,8,1,3,9,7,4,6,5,"It is open/available at the time of the emergency,It is convenient/close by,I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation",,Quite concerned,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Strongly agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,"Using respectful language,Avoiding non-incriminatory questions,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor","Emergency pet medical services can be costly, which may discourage people from seeking medical help",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Male,,No,White or European descent,,Full-time employment,,"Staying with someone else (family, friend)",,Partner/spouse,Children (yours or someone else's),4,"Dog,Cat",I have used drugs once or twice a month for the past six months,"Cannabis,Hallucinogens","Smoking/inhalation,Injection",Yes (please specify),,At home,Yes,Quite concerned,Yes,I usually get them in very private places,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Most of the time,Most of the time,About half the time,About half the time,Most of the time,Most of the time,I think the public should give us more chances,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,morphine,Extremely concerned,Somewhat agree,Strongly agree,2,7,3,1,4,9,5,8,6,"It is open/available at the time of the emergency,The cost of the treatment",,Extremely concerned,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Strongly agree,"Using respectful language,Emphasizing a commitment to helping your animal,Maintaining a friendly demeanor,Being knowledgeable about drugs and their effects",Fear of not finding a solution in an emergency situation,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25-34,Female,,No,White or European descent,,Full-time employment,85000,Rented apartment/condo,Fairview,Partner/spouse,No,1,Dog,I have used drugs once or twice a month for the past six months,"Cannabis,Hallucinogens","Smoking/inhalation,Snorting",No,,Outside or in a public place,No,,Yes,hide,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Somewhat agree,About half the time,Sometimes,Sometimes,About half the time,Most of the time,About half the time,,Option 2: I have experienced an animal emergency where my pet has accidentally ingested drugs.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Once,,Hallucinogens,Somewhat agree,Somewhat agree,Went to a local veterinary clinic,Treated at the vet/veterinary hospital,"It was convenient/close by,I was confident in the veterinary or healthcare staff knowledge of the situation",Yes,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat agree,Neither good nor bad,Somewhat disagree,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,Somewhat agree,Somewhat agree,Somewhat disagree,Neither agree nor disagree,Neither agree nor disagree,"Using respectful language,Emphasizing a commitment to helping your animal,Discussing patient-vet confidentiality,Maintaining a friendly demeanor",,Somewhat agree,,,,,
25-34,Male,,No,Black,,Part-time employment,20000,"Staying with someone else (family, friend)",Shaughnessy,Partner/spouse,Children (yours or someone else's),4,"Dog,Cat",I use drugs once a week,"Cannabis,Cocaine",Snorting,Yes (please specify),,At home,No,Somewhat concerned,Yes,Only when a person at home with myself,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Strongly disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,,Option 1: I have not experienced an animal emergency where my pet has accidentally ingested drugs.,,Not at all concerned,Neither agree nor disagree,Neither agree nor disagree,,,,,,,,,,"I have a prior relationship with the veterinarian or healthcare staff,I am confident in the veterinary or health care staff knowledge of the situation",,Somewhat concerned,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,Somewhat agree,,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,Somewhat disagree,"Using respectful language,Maintaining a friendly demeanor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
